cik,year,filename,incorporation_state,incorporation_year,employee_count,fiscal_year_end,headquarters_state,company_product,ceo_lastname
879209,1993,879209_1993.txt,NULL,1991,NULL,NULL,NULL,"Retail consumer receivables.  (Note: This is the main business activity of the company, which is to ",NULL
705752,1993,705752_1993.txt,California,1982,NULL,NULL,NULL,Real estate investment,NULL
4515,1993,4515_1993.txt,Delaware,1934,95800,December 31,Texas,Airline transportation services,NULL
18230,1993,18230_1993.txt,Delaware,1994,51250,December 31,Illinois,Machinery and engine manufacturing,NULL
812427,1993,812427_1993.txt,New Jersey,1918,28600,NULL,NULL,Chemicals and pharmaceuticals,Drew
68813,1993,68813_1993.txt,South Carolina,1888,417000,December 31,Kansas,Media and broadcasting services,NULL
352510,1993,352510_1993.txt,Delaware,1980,35,December 31,New York,Commercial banking services,NULL
701811,1993,701811_1993.txt,Oregon,1981,2100,December 31,Oregon,Electronic design automation,NULL
4969,1993,4969_1993.txt,Delaware,1962,60,December 31,NULL,Credit card receivables purchases. NOT_FOUND. (Credit card receivables purchases is the main busines,NULL
91767,1993,91767_1993.txt,South Carolina,1899,16472,December 31,South Carolina,Packaging products manufacturer,Coker
27984,1993,27984_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84792,1993,84792_1993.txt,NULL,NULL,12500,NULL,NULL,Chemical manufacturing,NULL
7974,1993,7974_1993.txt,Delaware,1967,12400,December 31,NULL,Consumer finance services,NULL
10427,1993,10427_1993.txt,New York,1908,15900,December 25,New York,Personal health products,The
78890,1993,78890_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72945,1993,72945_1993.txt,Delaware,1985,50000,NULL,NULL,"Aerospace products and services.  (Note: The company designs, develops and manufactures aircraft, ai",NULL
31277,1993,31277_1993.txt,Ohio,1916,38000,December 31,Ohio,Vehicle powertrain components,NULL
792863,1993,792863_1993.txt,Delaware,1972,675,December 31,New York,Radio broadcasting services,NULL
861388,1993,861388_1993.txt,Kentucky,1989,5000,December 31,Kentucky,Electric and gas utility services,NULL
912025,1993,912025_1993.txt,Delaware,1993,NULL,NULL,NULL,Real estate investment,NULL
39677,1993,39677_1993.txt,Delaware,1970,950,December 31,Florida,Real estate development. NOT_FOUND. (Note: The company has two main business activities: real estate,NULL
312667,1993,312667_1993.txt,California,1959,NULL,December 31,NULL,Filmed entertainment production,NULL
29917,1993,29917_1993.txt,Michigan,1943,8600,NULL,Michigan,Silicone products manufacturing,NULL
84613,1993,84613_1993.txt,Delaware,1899,NULL,December 31,New Jersey,Electricity transmission and distribution,Blanchet
42872,1993,42872_1993.txt,New York,1900,34000,December 31,NULL,Specialty chemical business,NULL
2648,1993,2648_1993.txt,Connecticut,1967,5,December 31,Connecticut,Insurance and financial services,NULL
36029,1993,36029_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
789538,1993,789538_1993.txt,Delaware,1986,NULL,December 31,NULL,Venture capital investing. NOT_FOUND. ( Venture capital investing is the main product/service/busine,Albert
225300,1993,225300_1993.txt,Iowa,1977,290,December 31,Iowa,Insurance and annuity products,NULL
69952,1993,69952_1993.txt,Pennsylvania,1956,23700,December 31,Pennsylvania,Banking services,NULL
41091,1993,41091_1993.txt,Alabama,1945,12500,NULL,NULL,Electric power generation. I-4,HARRIS
351936,1993,351936_1993.txt,Delaware,1980,NULL,NULL,Connecticut,Financing equipment sales,NULL
77098,1993,77098_1993.txt,Pennsylvania,1846,NULL,December 31,Alabama,Insurance services,NULL
51143,1993,51143_1993.txt,NULL,1993,125000,NULL,NULL,Information technology services,NULL
17206,1993,17206_1993.txt,Delaware,1969,9,December 31,Kentucky,Insurance and financial services,NULL
13372,1993,13372_1993.txt,Massachusetts,1886,4404,NULL,Massachusetts,Electric power distribution,NULL
857571,1993,857571_1993.txt,Indiana,1906,20597,December 31,Ohio,Electric power distribution,NULL
30099,1993,30099_1993.txt,Delaware,1956,15600,October 31,Texas,Oil and gas equipment,NULL
745448,1993,745448_1993.txt,Delaware,1984,12200,December 31,Michigan,Diversified manufacturing services,NULL
315641,1993,315641_1993.txt,Delaware,1979,2200,NULL,NULL,Metal fabrication products,NULL
41499,1993,41499_1993.txt,Delaware,1917,33400,NULL,Massachusetts,Consumer goods manufacturing,NULL
855433,1993,855433_1993.txt,Delaware,1977,979,December 31,NULL,Television broadcasting,NULL
811664,1993,811664_1993.txt,Delaware,1987,675,NULL,Delaware,Air transportation services,NULL
18808,1993,18808_1993.txt,Vermont,1929,NULL,NULL,NULL,Electricity distribution and sales,Webb
95304,1993,95304_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65622,1993,65622_1993.txt,Michigan,1984,12500,December 31,NULL,Telecommunications services,NULL
743368,1993,743368_1993.txt,Delaware,1964,200,December 31,NULL,Newsprint manufacturing,NULL
25506,1993,25506_1993.txt,Delaware,1972,4960,December 31,NULL,High-performance supercomputing systems,NULL
109380,1993,109380_1993.txt,Utah,1955,NULL,December 31,Utah,Commercial banking services,NULL
872553,1993,872553_1993.txt,NULL,NULL,NULL,NULL,NULL,Auto receivables financing. NOT_FOUND. (Note: The company is actually involved in the business of fi,NULL
78128,1993,78128_1993.txt,Pennsylvania,1968,523,December 31,Pennsylvania,Water utility services,Boyer
69598,1993,69598_1993.txt,Delaware,1928,6800,NULL,Illinois,Service Chemicals,NULL
311100,1993,311100_1993.txt,NULL,1993,12500,NULL,NULL,"Banking services. NOT_FOUND. (The answer is ""Banking services"" because the company is a bank, but th",NULL
805019,1993,805019_1993.txt,Delaware,1981,NULL,December 31,NULL,Financing services. Read this SEC 10-K filing excerpt and answer the question,NULL
894651,1993,894651_1993.txt,New Jersey,1959,8300,December 31,NULL,Annuity insurance products,NULL
101063,1993,101063_1993.txt,NULL,1993,NULL,NULL,Ohio,Fresh fruit marketing,Lindner
354964,1993,354964_1993.txt,Illinois,1981,16900,December 31,Illinois,Consumer financial services,NULL
355429,1993,355429_1993.txt,Alabama,1907,12847,December 31,Alabama,Insurance and financial services,NULL
716783,1993,716783_1993.txt,Maryland,1977,420,December 31,NULL,Cement and construction materials,NULL
63276,1993,63276_1993.txt,California,1948,NULL,December 31,California,Toy manufacturing and distribution,NULL
789388,1993,789388_1993.txt,Delaware,1982,12500,December 31,NULL,Computer services company,NULL
63541,1993,63541_1993.txt,Delaware,1925,20997,December 31,Iowa,Home appliance manufacturing. Read this SEC 10-K filing excerpt and answer the question,NULL
770461,1993,770461_1993.txt,Florida,1981,1,December 31,Florida,"Horse racing. NOT_FOUND. (Note: The company is inactive, but it was previously engaged in horse raci",Shea
811532,1993,811532_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68330,1993,68330_1993.txt,Massachusetts,1971,10,November 30,Massachusetts,Real estate investments,NULL
842635,1993,842635_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,Bow
764542,1993,764542_1993.txt,California,1993,1100,NULL,NULL,Lumber production and sales. NOT_FOUND. (Note: The company is primarily engaged in the forest produc,NULL
79636,1993,79636_1993.txt,Oregon,1930,2618,December 31,Oregon,Electric utility services,Cross
101778,1993,101778_1993.txt,Delaware,1901,62551,December 31,NULL,Oil and gas exploration,NULL
798905,1993,798905_1993.txt,California,1984,NULL,December 31,NULL,Equipment leasing. financing. Page 6 of 36. NOT_FOUND. Page 7 of 36. NOT_FOUND. Page 8 of,CONSTANTIN
100893,1993,100893_1993.txt,Tennessee,1971,NULL,December 31,Tennessee,Commercial banking services. Read this SEC 10-K filing excerpt and answer the question,NULL
74931,1993,74931_1993.txt,Delaware,1960,1400,December 31,Connecticut,Property and casualty insurance,NULL
37634,1993,37634_1993.txt,Florida,1925,12500,NULL,Florida,Electric power distribution,Broadhead
26058,1993,26058_1993.txt,Indiana,1929,NULL,December 31,Indiana,Electronic component manufacturing,NULL
48681,1993,48681_1993.txt,NULL,NULL,12500,December 31,Illinois,Consumer financial services,NULL
320335,1993,320335_1993.txt,Delaware,1979,3100,December 31,Alabama,Insurance and financial services,NULL
81362,1993,81362_1993.txt,NULL,1993,1006,December 31,Pennsylvania,Formulated chemical specialty products,NULL
71508,1993,71508_1993.txt,Arkansas,1949,16525,December 31,NULL,Electric utility services,NULL
40867,1993,40867_1993.txt,Wisconsin,1987,17382,December 31,NULL,Telecommunications services,NULL
710979,1993,710979_1993.txt,Delaware,1982,NULL,NULL,Florida,Home video retailing,NULL
74260,1993,74260_1993.txt,Illinois,1920,NULL,December 31,Illinois,Insurance services,NULL
71428,1993,71428_1993.txt,New Jersey,1984,12500,December 31,NULL,Telecommunications services,NULL
78100,1993,78100_1993.txt,Pennsylvania,1929,12500,NULL,Pennsylvania,Electric and gas service,NULL
354707,1993,354707_1993.txt,Hawaii,1891,4500,December 31,Hawaii,Electric utility services,NULL
751190,1993,751190_1993.txt,California,1968,2250,NULL,California,Computer-integrated manufacturing,NULL
313058,1993,313058_1993.txt,Louisiana,1930,2500,NULL,NULL,Cement production and sales. Read this SEC 10-K filing excerpt and answer the question,NULL
314459,1993,314459_1993.txt,Illinois,1979,NULL,December 31,NULL,Real estate investments,NULL
796370,1993,796370_1993.txt,NULL,1980,NULL,December 31,Massachusetts,Institutional investment management. - 6 - - 7 - - 8 - - 9 - - 10 - - 11 - -,NULL
829732,1993,829732_1993.txt,Delaware,1825,NULL,December 31,Massachusetts,"Banking services. NOT_FOUND. (The company is a bank holding company, and its main business is bankin",NULL
807711,1993,807711_1993.txt,Delaware,1986,1800,December 31,Connecticut,Heavy-duty portable electric tools,Havers
37931,1993,37931_1993.txt,New York,1993,NULL,December 31,NULL,"Advertising agency services. NOT_FOUND. (Note: The company is an advertising agency, but the main pr",NULL
311359,1993,311359_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18792,1993,18792_1993.txt,Delaware,1944,5900,December 31,NULL,Telecommunications services,NULL
862923,1993,862923_1993.txt,NULL,1994,12500,NULL,NULL,"NOT_FOUND.  (The excerpt does not mention the company's main product, service, or business activity.",NULL
736157,1993,736157_1993.txt,Colorado,1922,NULL,December 31,NULL,Media and entertainment company. I-6. I-7. I-8. I-9. I-10. I-11. I,NULL
104918,1993,104918_1993.txt,Washington,1889,1696,December 31,Washington,Electric and natural gas utility,NULL
350847,1993,350847_1993.txt,Delaware,1896,1494,December 31,Washington,Banking services,Grosz
3673,1993,3673_1993.txt,Maryland,1923,6025,NULL,NULL,Electric utility services,Bennett
275177,1993,275177_1993.txt,North Carolina,1900,4308,December 31,NULL,Telecommunications services,NULL
36340,1993,36340_1993.txt,Delaware,1976,253,December 31,Illinois,"Commercial banking services. NOT_FOUND. (The company is a bank holding company, and its subsidiaries",NULL
19722,1993,19722_1993.txt,Maryland,1984,25000,December 31,NULL,Telecommunications services,NULL
19150,1993,19150_1993.txt,New York,1937,42000,December 31,NULL,Paper products manufacturing,NULL
55642,1993,55642_1993.txt,Texas,1947,4200,December 31,Texas,Valve manufacturing,NULL
354647,1993,354647_1993.txt,California,1981,2000,December 31,California,Banking services,NULL
791269,1993,791269_1993.txt,Delaware,1925,NULL,March 31,Michigan,Automotive manufacturing,NULL
54045,1993,54045_1993.txt,California,1902,2025,December 31,Alabama,Electrical hardware manufacturing,NULL
824430,1993,824430_1993.txt,Colorado,1986,NULL,NULL,NULL,"Seeking merger candidates. NOT_FOUND. (Note: The company has not yet commenced operations, so it doe",Lilly
94610,1993,94610_1993.txt,NULL,1993,29000,December 31,Illinois,Paper products manufacturing. NOT_FOUND. (Note: The company's main business is paper products manufa,NULL
872552,1993,872552_1993.txt,NULL,NULL,NULL,NULL,NULL,Auto receivables financing. NOT_FOUND. (Note: The company is actually involved in the business of fi,NULL
91142,1993,91142_1993.txt,Delaware,1916,10800,December 31,NULL,Manufacturing and sales of products,NULL
84557,1993,84557_1993.txt,New York,1904,2536,December 31,New York,Electric and gas service. - 9 - - 10 - - 11 - - 12 - - 13 - - 14 - -,NULL
21271,1993,21271_1993.txt,Delaware,1955,850000,December 31,Texas,Petroleum refining and marketing,NULL
833053,1993,833053_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12400,1993,12400_1993.txt,Delaware,1941,5800,NULL,South Dakota,Electric power sales,NULL
806027,1993,806027_1993.txt,Illinois,1962,31000,December 31,Illinois,Management and cleaning services. NOT_FOUND. (Management and cleaning services is the main product/s,ServiceMaster
71344,1993,71344_1993.txt,New York,1883,NULL,December 31,NULL,Telecommunications services,NULL
51303,1993,51303_1993.txt,Delaware,1949,NULL,NULL,NULL,Wholesale and retail financing,NULL
745276,1993,745276_1993.txt,Ohio,1983,277,December 31,Ohio,Commercial and retail banking. Read this SEC 10-K filing excerpt and answer the question,NULL
792397,1993,792397_1993.txt,California,1985,1500,December 31,NULL,Information storage solutions,NULL
789895,1993,789895_1993.txt,California,1984,NULL,NULL,NULL,"Aircraft leasing. NOT_FOUND. (The company is a partnership that leases aircraft, but it also owns an",NULL
858470,1993,858470_1993.txt,Delaware,1989,NULL,December 31,NULL,Oil and gas production. Read this SEC 10-K filing excerpt and answer the question,NULL
789575,1993,789575_1993.txt,Delaware,1986,1657,December 31,Mississippi,Commercial banking services,NULL
703559,1993,703559_1993.txt,New Jersey,1982,49,March,New Jersey,Banking services,NULL
96223,1993,96223_1993.txt,New York,1968,426,December 31,Missouri,Insurance and financial services,NULL
352915,1993,352915_1993.txt,NULL,NULL,NULL,NULL,Pennsylvania,NULL,NULL
26172,1993,26172_1993.txt,NULL,1934,23600,December 31,NULL,Diesel engine manufacturing,Schacht
71304,1993,71304_1993.txt,Massachusetts,1926,4500,December 31,Massachusetts,Electric and gas utilities,Poist
794323,1993,794323_1993.txt,Delaware,1941,25000,NULL,NULL,Construction and mining services,NULL
18651,1993,18651_1993.txt,Illinois,1985,12500,December 31,Illinois,Electric and gas utility,NULL
52428,1993,52428_1993.txt,Delaware,1967,NULL,December 31,NULL,Face-amount certificate issuer,NULL
856716,1993,856716_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40779,1993,40779_1993.txt,Pennsylvania,1946,NULL,December 31,NULL,Electricity generation and distribution,NULL
43960,1993,43960_1993.txt,California,1965,12500,December 31,Arizona,Collateralized financing services,NULL
278041,1993,278041_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22606,1993,22606_1993.txt,Illinois,1907,33000,December 31,Illinois,Electricity sales,NULL
96831,1993,96831_1993.txt,NULL,NULL,1200,NULL,Michigan,Compressor manufacturing,NULL
96977,1993,96977_1993.txt,NULL,1955,NULL,December 31,Washington,Telecommunications services,NULL
54507,1993,54507_1993.txt,Kansas,1989,5192,December 31,Kansas,Electric and natural gas utility,NULL
709145,1993,709145_1993.txt,California,1983,NULL,December 31,NULL,"Equipment leasing. NOT_FOUND. (Note: The company is in the process of winding up its business, so it",Michaels
778439,1993,778439_1993.txt,Delaware,1985,2600,December 31,NULL,Timberlands business. - 6 - - 7 - - 8 - - 9 - - 10 - - 11 - -,POLL
51644,1993,51644_1993.txt,Delaware,1930,17600,December 31,Kentucky,Advertising agency services. - 8 - PAGE,NULL
19719,1993,19719_1993.txt,New York,1984,7500,December 31,NULL,Telecommunications services,NULL
11860,1993,11860_1993.txt,Pennsylvania,1993,12500,NULL,Pennsylvania,Steel production and sales,NULL
35214,1993,35214_1993.txt,Ohio,1919,6627,December 31,Ohio,Specialty materials production,NULL
716133,1993,716133_1993.txt,Ohio,1984,12500,December 31,Kentucky,Telecommunications services,NULL
316901,1993,316901_1993.txt,Massachusetts,1967,1400,December 31,Massachusetts,Banking and financial services,NULL
25757,1993,25757_1993.txt,Massachusetts,1900,2352,NULL,NULL,Specialty chemicals manufacturing,NULL
10497,1993,10497_1993.txt,Massachusetts,1928,5571,December 31,Massachusetts,Banking services,NULL
66025,1993,66025_1993.txt,NULL,1993,980,December 31,NULL,NULL,NULL
88034,1993,88034_1993.txt,California,1993,1700,December 31,NULL,"Broadcasting and cable television. NOT_FOUND. (Note: The company is diversified, but broadcasting an",NULL
717829,1993,717829_1993.txt,NULL,1985,4600,December 31,Ohio,Greeting card manufacturing,Sottile
91928,1993,91928_1993.txt,Delaware,1969,NULL,December 31,NULL,Natural gas distribution. - 7 - - 8 - - 9 - - 10 - - 11 - - 12 - -,NULL
829218,1993,829218_1993.txt,Delaware,1983,1300,December 31,Texas,Thermoplastic and petrochemical products,NULL
69970,1993,69970_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75208,1993,75208_1993.txt,Delaware,NULL,NULL,December 31,NULL,Bulk cargo shipping,NULL
823549,1993,823549_1993.txt,Delaware,1938,75000,December 31,NULL,Natural gas transportation,NULL
276189,1993,276189_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52491,1993,52491_1993.txt,Illinois,1940,1423,December 31,Illinois,Electric and gas distribution,NULL
712534,1993,712534_1993.txt,Indiana,1893,371,December 31,Indiana,Commercial banking services,NULL
55604,1993,55604_1993.txt,Delaware,1955,1900,December 31,Texas,Diversified steel manufacturing,NULL
909783,1993,909783_1993.txt,NULL,1993,NULL,December 31,New York,Diversified manufacturing services,NULL
72741,1993,72741_1993.txt,Connecticut,1992,30,NULL,Connecticut,Electric utility services,NULL
30163,1993,30163_1993.txt,NULL,1940,12500,December 31,New York,Mutual fund management,Stein
19724,1993,19724_1993.txt,Virginia,1984,NULL,December 31,NULL,Telecommunications services,NULL
726601,1993,726601_1993.txt,NULL,NULL,NULL,NULL,Florida,NULL,NULL
810021,1993,810021_1993.txt,Delaware,1987,NULL,December 31,Texas,Natural gas operations,Chief
773910,1993,773910_1993.txt,Delaware,1985,1020,December 31,NULL,Oil and gas exploration,NULL
96966,1993,96966_1993.txt,Iowa,1968,NULL,December 31,NULL,Telecommunications services,NULL
7286,1993,7286_1993.txt,Arizona,1920,7050,December 31,Arizona,Electricity distribution,Woods
60751,1993,60751_1993.txt,Ohio,1928,4613,December 31,Ohio,Chemical additives manufacturing,NULL
313749,1993,313749_1993.txt,Delaware,1934,12500,December 31,NULL,NOT_FOUND. (The company is a real estate investment trust (REIT) with various investments in real es,NULL
94673,1993,94673_1993.txt,Delaware,1969,10100,December 31,Colorado,Information storage systems,NULL
74145,1993,74145_1993.txt,Oklahoma,1902,361,December 31,Oklahoma,Electric power generation,NULL
66960,1993,66960_1993.txt,NULL,1985,4700,December 31,NULL,Electric and natural gas utility. I-6. I-7. I-8. I-9. I-10. I-11,NULL
39547,1993,39547_1993.txt,Alabama,1929,11200,December 31,NULL,Photofinishing services. Read this SEC 10-K filing excerpt and answer the question,NULL
11199,1993,11199_1993.txt,Missouri,1885,7600,December 31,Minnesota,Flexible packaging products. - 5 - ```python,NULL
18540,1993,18540_1993.txt,Delaware,1925,NULL,December 31,NULL,Electric power distribution,NULL
63917,1993,63917_1993.txt,Maryland,1939,70016,December 31,NULL,Aerospace manufacturing,NULL
82231,1993,82231_1993.txt,New York,1840,1195,December 31,New York,Materials handling systems,NULL
94049,1993,94049_1993.txt,New Jersey,1932,1302,December 31,Illinois,Chemical manufacturing,NULL
46195,1993,46195_1993.txt,Arizona,1971,4424,May 7,NULL,Financial services. Read this SEC 10-K filing excerpt and answer the question,NULL
778201,1993,778201_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98362,1993,98362_1993.txt,Ohio,1904,15985,December 31,Ohio,Anti-friction bearings,NULL
88255,1993,88255_1993.txt,NULL,1992,14,NULL,NULL,Short-term financing services,NULL
704469,1993,704469_1993.txt,Kentucky,1981,12500,December 31,Kentucky,"Banking services. NOT_FOUND. (The company is a bank holding company with multiple subsidiaries, so i",NULL
5187,1993,5187_1993.txt,Delaware,1926,51499290285139929028514992902851399290285149929028,December 31,New Jersey,Health care products,NULL
16422,1993,16422_1993.txt,California,1926,614,December 31,NULL,Water distribution services,NULL
73918,1993,73918_1993.txt,Delaware,1931,1390,December 31,Ohio,Marine transportation services,NULL
831259,1993,831259_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
852772,1993,852772_1993.txt,Alabama,1988,NULL,December 31,South Carolina,Restaurant operations,NULL
100880,1993,100880_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22198,1993,22198_1993.txt,Indiana,1906,20597,December 31,Ohio,Electric power distribution,NULL
44801,1993,44801_1993.txt,Delaware,1964,520,December 31,Oklahoma,Natural gas products services,NULL
37076,1993,37076_1993.txt,Wisconsin,1929,7233,December 31,NULL,Banking services,NULL
102379,1993,102379_1993.txt,Delaware,NULL,1100,October 31,NULL,Engineering and architectural services,NULL
60860,1993,60860_1993.txt,Delaware,1992,4769,NULL,NULL,Steel manufacturing,NULL
752302,1993,752302_1993.txt,Michigan,1982,NULL,December 31,NULL,Mortgage financing services,NULL
731859,1993,731859_1993.txt,New York,1942,2750,December 31,New York,Investments and real estate,NULL
860730,1993,860730_1993.txt,Delaware,1990,NULL,December 31,Kentucky,Hospital and healthcare services,NULL
792014,1993,792014_1993.txt,Maryland,1986,NULL,December 31,California,Mortgage-backed investments. NOT_FOUND. (Note: The company's main business activity is not explicitl,NULL
109261,1993,109261_1993.txt,Delaware,1971,1600,December 31,California,Insurance services,NULL
701221,1993,701221_1993.txt,Delaware,1981,540,December 31,Pennsylvania,Insurance and financial services,NULL
310764,1993,310764_1993.txt,NULL,NULL,NULL,NULL,Michigan,NULL,Brown
790159,1993,790159_1993.txt,NULL,NULL,12500,NULL,New Hampshire,Environmental services and products,NULL
73020,1993,73020_1993.txt,Oregon,1910,2500,December 31,Oregon,Natural gas distribution,NULL
763907,1993,763907_1993.txt,Maryland,1985,223,December 31,Maryland,"Banking services. NOT_FOUND. (The company is a bank holding company with multiple subsidiaries, so i",Stanton
40545,1993,40545_1993.txt,New York,1892,7,December 31,NULL,Industrial products and services,NULL
106752,1993,106752_1993.txt,Arizona,1915,NULL,NULL,Connecticut,Environmental services,NULL
22099,1993,22099_1993.txt,Delaware,1926,10114,NULL,NULL,Natural gas operations,JAMES
68622,1993,68622_1993.txt,Colorado,1991,1250000,December 31,NULL,Telecommunications services,NULL
21267,1993,21267_1993.txt,Delaware,1972,16000,December 31,NULL,Natural gas operations. Read this SEC 10-K filing excerpt and answer the question,NULL
40865,1993,40865_1993.txt,Florida,1901,8210,December 31,NULL,Telecommunications services,President
795581,1993,795581_1993.txt,Delaware,1985,615,December 31,Maine,Insurance and employee benefits,NULL
836442,1993,836442_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107833,1993,107833_1993.txt,Wisconsin,1883,4500,NULL,NULL,Electricity and natural gas. Read this excerpt and answer the question,NULL
778437,1993,778437_1993.txt,Colorado,1985,6,December 31,NULL,"Industrial property leasing. NOT_FOUND. (Note: The company is a real estate investment trust, and it",Wolcott
735553,1993,735553_1993.txt,Wisconsin,1984,12500,December 31,Wisconsin,Savings and loan services,NULL
31617,1993,31617_1993.txt,New York,1925,1051,December 31,New York,Advanced electronic systems. - 4 - Read this SEC 10-K filing excerpt and answer the question,NULL
27996,1993,27996_1993.txt,Minnesota,1920,17000,NULL,NULL,Check printing services. - 5 - Read this SEC 10-K filing excerpt and answer the question,NULL
774459,1993,774459_1993.txt,Maryland,1923,6025,NULL,NULL,Electric utility services,Bennett
732639,1993,732639_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,Munroe
782975,1993,782975_1993.txt,NULL,1992,NULL,NULL,NULL,Cable television services,Officer
73945,1993,73945_1993.txt,Ohio,1982,12500,December 31,NULL,Telecommunications services,NULL
97349,1993,97349_1993.txt,Delaware,1926,32514,December 31,NULL,Oil and gas exploration,NULL
872551,1993,872551_1993.txt,NULL,NULL,NULL,NULL,NULL,Auto receivables financing. NOT_FOUND. (Note: The company is actually involved in the business of fi,NULL
106170,1993,106170_1993.txt,Connecticut,1992,30,NULL,Connecticut,Electric utility services,NULL
37637,1993,37637_1993.txt,Florida,1899,12500,December 31,Florida,Electric power generation,"However,"
868635,1993,868635_1993.txt,Delaware,1990,3103,December 31,NULL,Pre-engineered metal buildings,NULL
18926,1993,18926_1993.txt,Louisiana,1968,2800,December 31,NULL,Telecommunications services,NULL
865937,1993,865937_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
732713,1993,732713_1993.txt,Georgia,1983,123000,December 31,NULL,Telecommunications services,NULL
743475,1993,743475_1993.txt,NULL,1902,2500,December 31,New York,General building construction,McNeill
90498,1993,90498_1993.txt,Arkansas,1903,6420,December 31,Arkansas,Retail banking services,NULL
50104,1993,50104_1993.txt,Alaska,1939,1400,December 31,NULL,Refining and marketing. Read this excerpt and answer the question,NULL
64040,1993,64040_1993.txt,NULL,1925,15661,December 31,New York,Information products services,NULL
27409,1993,27409_1993.txt,NULL,NULL,NULL,NULL,Ohio,NULL,NULL
726513,1993,726513_1993.txt,California,1861,NULL,NULL,Illinois,Publishing and broadcasting,NULL
869739,1993,869739_1993.txt,NULL,NULL,NULL,NULL,NULL,Auto receivables financing. NOT_FOUND. (Note: The company is actually involved in the business of fi,NULL
92081,1993,92081_1993.txt,Delaware,1968,7000,December 31,NULL,Commercial banking services,NULL
845091,1993,845091_1993.txt,NULL,NULL,NULL,NULL,NULL,"NOT_FOUND.  (The excerpt does not provide information about the company's main product, service, or ",NULL
50957,1993,50957_1993.txt,Delaware,1926,16850,NULL,Missouri,Furniture and footwear manufacturing,NULL
73088,1993,73088_1993.txt,Delaware,1923,473,December 31,North Dakota,Electric and gas utility,Lewis
54381,1993,54381_1993.txt,Connecticut,1945,5363,December 31,Connecticut,NOT_FOUND (The company has multiple products and services across two industry segments: Diversified ,Kaman
829444,1993,829444_1993.txt,NULL,NULL,12500,December 31,Louisiana,Shipbuilding and repair. NOT_FOUND. Ship construction. Shipbuilding. Ship construction and repair. S,NULL
23426,1993,23426_1993.txt,Connecticut,1992,30,NULL,Connecticut,Electric utility services,NULL
716039,1993,716039_1993.txt,NULL,NULL,NULL,NULL,NULL,NULL,NULL
823393,1993,823393_1993.txt,Delaware,1987,270,December 31,Connecticut,Banking services,NULL
62142,1993,62142_1993.txt,Delaware,1958,NULL,December 31,NULL,Energy company services,NULL
14407,1993,14407_1993.txt,Massachusetts,1928,NULL,NULL,NULL,Retail electric utility,Pardus
97886,1993,97886_1993.txt,Kentucky,1928,3400,December 31,Kentucky,Lighting and compressors,NULL
835669,1993,835669_1993.txt,Maryland,1988,NULL,December 31,Ohio,"Mortgage investment services. NOT_FOUND. (Note: The company's main business is mortgage investment, ",NULL
216539,1993,216539_1993.txt,Delaware,1993,7300,NULL,Virginia,Newspaper publishing business,NULL
